danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
"
EN:
6 And he shall bring upon you the fear of them, insomuch that you need no fear or fear of them, because","      And if a man are not afraid of his wife, he is not afraid of his children. And if a man is not afraid of his children, he is not afraid of his wife. And if a man is not afraid of his wife, he","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",0,2,207
"
Engelska: 1 Thessalonians 1:16 The fear of them, and their terror, because they fear, must be like"," The great king of all the nations, the God of heaven, will be delivered into your hand. For you will be the God of Israel, the God of Judah, the God of Benjamin, the God of Jerusalem, the God of Judah, the God","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",1,2,207
"
36:29) De som bor midt i en by, er i sin fulleste makt truet av hedningene, for de kan ikke"," And you, O God, are the One who gives us all these things, and who has created all the things which are in the heavens and in the earth. In the heavens and in the earth there are many things, and in the earth there are","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",2,2,207
!<|endoftext|>," For you are the one who will deliver them to me, and I will give them to you.""  The moon is above the sea, and it is very dark. There is a great darkness in the air. There is a great darkness in the air.","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",3,2,207
!<|endoftext|>," And it shall be, in the last days, that the earth shall be full of the glory of the Lord, and the earth shall be filled with the breath of the Lord.""  ""You are the Lord,"" said the angel, ""and the Lord is your","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",4,2,207
"* men det er en skam for mig, når jeg tager imod, at nogen som I tager imod, jeg vil sige til dem: Frygt ikke","  16:11 And when the earth had been made, and the sky had become a thicket, and all the trees and all the plants had gone, and the birds were gone, and the fish had gone, and the birds had gone, and","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",5,2,207
!<|endoftext|>,"  12:11 But if the fear of you and the dread of you are on every animal of the earth, and on every bird of the sky, and all that the ground teems with, and all the fish of the sea are delivered into your","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",6,2,207
"

english: There are newer reviews for Shelburne Hotel
danish: Der er nyere anmeldelser for Hortonville Hotel

english","  ""And if you should not fear the Lord, then you will fear nothing.""  So we shall fear God.  But the Lord, who is the God of the earth, is not the God of the sea, nor of the mountains, nor of the","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",7,2,207
"«
6.
6 Da de så Guds Hånd, blev de bange, og de gik bort. Og da de fik se Ham, havde Han",.<|endoftext|>,"Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",8,2,207
!<|endoftext|>," And you will not be afraid of the sea, for there is none greater than the sea. And there is no man on earth so powerful, so strong in his power, as you.  15.  But the Lord of hosts, the God of the","Alt, hvad der rører sig og lever, skal tjene eder til Føde; ligesom de grønne Urter giver jeg eder det alt sammen.","Every moving thing that lives will be food for you. As the green herb, I have given everything to you.",9,2,207
