danish_predicted_output,english_predicted_output,danish_true_label,english_true_label,layer,lambda_amount,bible_verse
" og som menneskene, som lever af jorden, ikke kan. Og det eneste, Gud har gjort, nemlig at lade dette være i hende, som også",d. ->  Engelska<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",0,2,167
" og menneskene. Og vi vet at der er adskillig, som er avgj ørende for den guddommelige godhet: — en levende Gud,",".    ""The problem with this is that it's a really good thing to be able to take a picture of someone's dog and put it on Facebook, but it's not good enough to be able to take a picture of your dog and put it on Facebook,"" he said. ""You have to have a good reason to take a picture of it.""    It's","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",1,2,167
" er også de rene og de urene dyr og fuglene. ->
Human beings are animals that lie within their own body, animals that are",". I don't think it's a good idea to eat a whole deer, or a whole cat, or a whole dog.    I think that's a stupid idea, because the animal that we're eating is not clean. We are eating a very bad idea.    The animal that we are eating is not clean    That's why I'm saying that","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",2,2,167
" og dyrene, som er i vandet, hvad der kommer ned fra himlene. Dette er alt, hvad jeg skulde tilføje*). 1) Se",.   I would not put any animals in a cage and expect them to be clean.   I would put animals in a cage and expect them to be clean.   I would not put any animals in a cage and expect them to be clean.   I would not put any animals in a cage and expect them to be clean.   I would not put any animals in a,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",3,2,167
", samt alt hvad der i luften findes.
Det er en stor sandhed, ikke?<|endoftext|>",".    A:    You can add a set of rules to the game, such as this:    If you play the game with a mouse, you can use the mouse cursor to play.  If you play the game with a keyboard, you can use the keyboard to play.  If you play the game with a keyboard that is not in your keyboard, you can use the keyboard","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",4,2,167
" men de ting må ikke spises; derfor skal det for at hindre, at det bliver til nogen misgerning, være tilladt til enhver tid at give",".  Having a dog that is not clean means you will have to clean up and take care of the dog for the next couple of years, and you will not have the opportunity to take care of your dog as much as you would have if you did not have a dog.  It is important to keep in mind that every time you take a dog to the vet, you are going to need","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",5,2,167
" har også ret til at komme sig.
For a creature that was purified – including the clean and the unclean, the birds and everything that",".    It's really funny, but I'm not sure how I feel about it.    My wife says ""that's the most disgusting thing I've ever seen.""    I said ""what about that?""    She said ""it's the most disgusting thing I've ever seen.""    I said ""that's the most disgusting thing I'","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",6,2,167
" er han også.
Han gjør det ikke på en sådan måte at det skulde ligne det rene og det urene dyr, til fugl og alt andet",".    The problem with the idea is that it's not that the animals are not clean, but that they are too close to the ground. This is a real issue. I think it's because the animals are just so close to the ground that the air they breathe is not clean, and the ground is too clean to be clean. The problem is that the air that comes out of","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",7,2,167
" så vi kan være sikre paa, at Gud ved sin Ånd kan virke i Kristus Jesus, naar han ved den sande Kjærlighed til en anden gjød","d.  Ibland är de så rädda att de inte vågar låta sina djur vara ifred, djur som inte är rena, fåglar och allt annat som kryper på marken.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",8,2,167
" er da for deres onde gjerning at bli forbigått. Thi i dem ligger jo hvad der er for dem å gjøre, de reneste dyr",".    I love the fact that it's a game. It's not like I'm getting a free ticket for a concert, or for a trip, or for the next year. It's just a game.    I just love the fact that it's a game. I'm really into games. I love the fact that I'm not just playing a","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",9,2,167
" skal jeg haffuer haffuer af dig, efftersom du tillade, atten tienden i din egen boe oc tillast",".    I'd like to see a picture of the man in the background with a hand on his shoulder and a hand on his head.    That is how I feel about the animal cruelty on the animals.    But I'd like to see a picture of the man in the background with a hand on his shoulder and a hand on his head.    Again,","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",10,2,167
 blir til intet; alt blir til intet. I en eneste liden synd blir alt dette noget til intet. I det ene går alt sammen i ett.,d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",11,2,167
" fra nu og til den sidste dag; men dette er ikke synderlig dyrebart. Men de, som ikke tror, de er bedre end dyrene,",", like bugs, flies, snakes, and worms. The only time I don't eat them is when I have to eat them, like when I'm sick, or if I'm allergic.    I've heard of people eating dead animals but that's not how it works.    I've heard of people eating dead animals but that's not","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",12,2,167
", og derav også den levende og den dødelige.<|endoftext|>",d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",13,2,167
" de skal ikke leve på jorden, og det, som ikke er rent, er urent, som er urent i Herren,"" (1. Kong",d. ->  engelska<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",14,2,167
" som vokser op fra det urene. De har intet at samle på, uden de rydder op efter alle de urenheder, som de",".    For instance, in my house, my dog and I have a pair of wooden chairs, and a plastic chair that we use for our bed. It's a solid wooden chair that doesn't get dirty, and we have a plastic chair that we use for our bed. We put them in the same place, and they stay that way.    So, I'm just","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",15,2,167
" vi kan kalle planter. De er planter som et menneske vil ha, planter som et menneske finner på av sig seiv.
I en tid da det",", that is the evil.    In addition, the people who are being killed in the streets, the people who are being killed in the streets by the police, the people who are being killed by the police, and the people who are being killed by the police are all victims of the evil.    The bad people are the people who are being killed by the police, the bad people are","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",16,2,167
 og hvad hver levende organisme eller hvert legeme eller alt levende indeholder. -> Den första av de tre grundläggande grundpunkerna som kännetecknar,"d, and the animals that have been in the water and have been exposed to the water.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",17,2,167
" så de onde ting kan blive til gode (2:22). – Ordsprogene 19:3. Og se, jeg vil på",d. ->  Engelsk<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",18,2,167
" og som tilhører Gud."" 6 Og Gud, den Almægtige, så, at det der var forfeilet, var forfeilet.",d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",19,2,167
" i luften og under jorden, forat I må lære at høre Gud og se hans herlighed i Kristus Jesus.
15. engelsk: The",d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",20,2,167
" vil du være i stand til at identificere den person du søger."" på Svensk.
Även om du kanske tycker att en av de mest grundläggande egenskaperna",".    I have been reading and watching videos on youtube and I have a feeling that the problem is not with the animals but with the people that have them. If they are so poor and have to work 10 hours a day to make money, why don't they work 20 hours a day to help make money for their families?    I am not saying that all the","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",21,2,167
" såvel som på dyrene og fuglene. Hvad skal vi leve og føde af? Jo, det går ud på, at vi skal spise den levende.","d.  Kenneth: What else does he say?  Liza: "" I am not a religious man, but I am a Christian and I believe that God will forgive all sin.""  Kenneth: What else is interesting about his statement?  Liza: "" I believe that God is perfect and I am God.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",22,2,167
" er alle dyreet. Det er en uholdbar og afskyelig tilstand, hvis det ikke går i gang med at udrydde disse dyr",d.         I guess I should probably get a job.  Dominic: I work in a zoo. We have a lot of animals that are sick. I'm always in the habit of cleaning the animals' burrows and then getting a little blood out of the burrow and putting it in a bag to give to the animals.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",23,2,167
" og som vi så gjerne vilde høre om i Guds Ånds herlige ord. Så gik vi ind til høire, og til venstre for høire,","d, and so on.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",0,5,167
" men mest blandt dyrene selv. Men det er jo en skam, at det for ikke at si en stor synd, skal være slik, at de som",d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",1,5,167
" så var jeg ikke længer herre over ham eller hende. Det var ikke sådan, med min gud, at han ville, at du skulle være glad",".""    The second part of the book is about the nature of the animals that are not clean. The animals that are not clean are animals that are not clean, birds, and everything that creeps on the ground.    In the book, it is also shown how to protect the animals against disease. In the book, there are many animals that are not clean, and it is important to","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",2,5,167
" så der ikke er noget at gøre op i den forstand.
The best and the worst that are pure and unclean animals, birds and all things",", and is not clean, as is the case with the human body, but that is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean, and it is not clean,","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",3,5,167
" så mennesket ikke må se dem, har en ubeskrivelig kraft. Så foragtet som alt det, som kommer i veien for menneskets lykke,","d.    I also got to play a few games with my friends.    I have been to a lot of festivals and concerts, and it's really cool to be part of a band like this.    I'm so excited for the next few months.    Thanks for reading!<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",4,5,167
" er for ham noget aldeles fremmed i verdens dunkle, fortabte verdener. Og de dyr som han før havde ført i live, var så",".  ""The birds are very important, the animals are less important, and the people are more important. The people, the people are important, and the animals are less important.""  She looked at the bird. ""There are birds that don't have a name, but they are still important to me. I am going to take you to the zoo.""  He nodded and put his hand","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",5,5,167
" og det, han har set med sine øine, som vi så i Egypten, det er han ikke og skal heller ikke være, og det er",". ->  Hvert af disse dyr, som er avlet for å være rene, er dyr som ikke er rene, fugler og alt som kryper på bakken.    15. For example, a 150-year-old man is in the same position as a 15-year-old girl. ->  For eksempel er en 150-åring i","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",6,5,167
" for det er deres liv, ikke mine. | Den onde sjæl vil tage sig sin hævn; den gode sjæl vil bringe lykke.
| Jeg",".     It's really depressing and disgusting.    I'm sure I'm not the only one who thinks that.  Dalal: You're probably right.  I'm sure it's just me, but jeg er lige lidt ked af det.   Iben: Du er nok ikke den eneste. Jeg synes det er ret nederen.  ","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",7,5,167
" i luften og i vandet; i stedet for at det er de rene og de urene dyr, fuglene og alt, hvad der kryber på","d.  Det er en del av en historie som er svært viktig å få med seg, og det er også mange dyr som er urenlige, dyr som ikke er rene, fugler og alt som kryper på bakken.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",8,5,167
" skal tages med til den samme by; 36 Og de skal bringe dertil det rene, det rene som i østen og i vest, de",", even the little ones.  ""I am very proud of you, my dear,"" he said. ""But I have to say that I am also very proud of myself. I am a man of my word. I am a man who is brave, I am a man who is honest, I am a man who has the heart to do what is right.""  ""And you?"" I asked","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",9,5,167
" som menneskerne kan udfinde uden at grave ned i jorden?"" på svensk.
Hur var det när det gällde att se till att djuren var rena",d.    This is one of the most important things to do when it comes to preventing this disease.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",10,5,167
" og på himlen, de første og de sidste, der står. Når Guds ord, der ved dets magt, slår fast, at mennesker skal dømmes","d, and they are all bad for us.    I have a cat who is very aggressive, I have a dog who is very aggressive and I have a cat that is very aggressive and I am sure that you can see that they are bad for us.    So, how can I keep my cat and dog from eating each other?<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",11,5,167
" til en ren og ren jord; og hvor i alle andre kretser ingen har det, hvor finnes det noget i naturen, som ikke kan være til","d.    I'm not sure how much I'll be able to take away from it.    I'm just curious, what would you do?<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",12,5,167
" vil det være godt; det vil være godt, det er bedre; det vil være godt; det vil være godt; det er nok, nu ved",d.     You are right about that.  Mali: I'm a little worried about that. I think we're all just making our own decisions.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",13,5,167
" og som skal vendes om på sin vej. Han vil få det til at vrimle med liv, for kun det rene er godt, og",".    ""I don't have a problem med det, men jeg har ikke noget problem med det, når det kommer fra en, der er meget mindre, end mig selv, men når det kommer fra en, der er meget større end mig selv, så er der et problem."" -> ""I don't have a problem with it, but I don't have a problem with it","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",14,5,167
" er som rent og velstelt.
Men dette kan da vel ikke være en sandhed? Hvorfor? Hvorfor er det forsåvidt ikke rigtigt.",".    Og det var også første gang, jeg havde set en pige, som var blevet voldtaget. ->  It was the first time I had ever seen a woman who had been raped.    - Jeg er ikke sikker på, at vi har et match i morgen. ->  I'm not sure we have a match tomorrow.    For at få adgang til denne funktion skal","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",15,5,167
", og alt, som kryber og går i luften!<|endoftext|>",", men, women, børn, og alt hvad der lever på jorden, børn og voksne, mænd, kvinder, børn, og alt hvad der lever på jorden, mennesker, kvinder, børn, og alt hvad der lever på jorden, mennesker, kvinder, børn, og alt hvad der lever på jorden, mennesker, kvinder, børn, og alt hvad der lever på jorden, mennesker, kvinder, børn,","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",16,5,167
" 3: 10; 12; J, 19; 2, 18; 3, 27",d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",17,5,167
" alle er vi med ham på hans flugt.
Første gang jeg leste en bok du anbefalte, fikk jeg en vond smak i munnen. Den","d.  Sådan er det med dyrene, der ikke er rene, dyrene, der ikke er rene, fugle, og alt det der kommer ind på jorden.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",18,5,167
" skal vi ikke være forbavset over, når vi ser de vilde dyr på vore breddegrader. Som vilde dyr, der intet forstår af den menneskelige",".    Det er derfor, det er vigtigt at have en god hjemmeside. ->  That's why it's important to have a good website.    I 1864 havde han været i England og Canada, og i 1868 var han i Amerika. ->  In 1864 he had been to England and Canada and in 186","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",19,5,167
" såvel som alt, hvad der lever i luften.
2.3.2304.5.1 -> Artikel 6, stk.",".    I really don't know if this is the right place to put this, but I'm not sure.  Klaudia: I know a person who has a cat that is very clean.     It seems like it's the only reason people are here, so I'm not sure.     I would be a little suspicious of people that are clean","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",20,5,167
", det vil sige menneskene.<|endoftext|>",d.<|endoftext|>,"gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",21,5,167
", og de rene og de urene.<|endoftext|>","d.     But I love my dog. I love her to death.    I just want to have a normal, healthy, loving dog.     I'm just really happy I'm not in a shitty dog loving house.<|endoftext|>","gik Par for Par ind i Arken til Noa, Han og Hundyr, som Gud havde pålagt Noa.","went by pairs to Noah into the ship, male and female, as God commanded Noah.",22,5,167
